item_name,size,synonyms,Ingredients
Strictly Veggie Pizza,Large,"*Large Garden Pizza,Large Vegetarian Pizza,Large Veggie Pizza,Veg Pizza,Veggie Combo Pizza,Garden Special,Veggie Deluxe Pizza,Vegetarian Special,Veggie Special,Vegetarian Special Pizza,Garden Special Pizza,Veggie,Vegetarian,Veg,Weight Pizza,strictly veggie,strictly veg*",Double Turkey Pepperoni
Strictly Veggie Pizza,Extra Large,"*Extra Large Garden Pizza,Extra Large Vegetarian Pizza,Extra Large Veggie Pizza,Veg Pizza,Veggie Combo Pizza,Garden Special,Veggie Deluxe Pizza,Vegetarian Special,Veggie Special,Vegetarian Special Pizza,Garden Special Pizza,Veggie,Vegetarian,Veg,Weight Pizza,strictly veggie,strictly veg*",Extra Double Turkey Pepperoni
Strictly Veggie Pizza,Gluten Free,"*Gluten Free Garden Pizza,Gluten Free Vegetarian Pizza,Gluten Free Veggie Pizza,Gluten Free Veg Pizza,Veggie Combo Pizza,Garden Special,Veggie Deluxe Pizza,Vegetarian Special,Veggie Special,Vegetarian Special Pizza,Garden Special Pizza,Veggie,Vegetarian,Veg,Weight Pizza,strictly veggie,strictly veg*",Light Double Turkey pepperoni
Bacon Cheeseburger Pizza,Personal,"*Personal Bacon Burger Pizza,Bacon and Burger Pizza,bacon cheeseburger,Personal bacon double cheeseburger,bacon double cheese burger,bacon pizza,Bacon Double Cheeseburger,Bacon Cheeseburger,Personal Bacon Cheeseburger, bacon hamburger pizza, bacon hamburger, bacon burger pizza*",Side Double Turkey pepperoni
Bacon Cheeseburger Pizza,Small,"*Small Bacon Burger Pizza,Small Bacon and Burger Pizza,Small bacon cheeseburger,bacon double cheeseburger,bacon double cheese burger,bacon pizza,Bacon Double Cheeseburger,Bacon Cheeseburger,Double Bacon Cheeseburger, bacon hamburger pizza, bacon hamburger, bacon burger pizza*",Plant Based Pepperoni
Bacon Cheeseburger Pizza,Large,"*Large Bacon Burger Pizza,Large Bacon and Burger Pizza,Large bacon cheeseburger,bacon double cheeseburger,bacon double cheese burger,bacon pizza,Bacon Double Cheeseburger,Bacon Cheeseburger,Double Bacon Cheeseburger, bacon hamburger pizza, bacon hamburger, bacon burger pizza*",Bacon
Bacon Cheeseburger Pizza,Extra Large,"*Extra Large Bacon Burger Pizza,Extra Large Bacon and Burger Pizza,Extra Large bacon cheeseburger,bacon double cheeseburger,bacon double cheese burger,bacon pizza,Bacon Double Cheeseburger,Bacon Cheeseburger,Double Bacon Cheeseburger, bacon hamburger pizza, bacon hamburger, bacon burger pizza*",Bacon Crumbles
Bacon Cheeseburger Pizza,Gluten Free,"*Gluten Free Bacon Burger Pizza,Gluten Free Bacon and Burger Pizza,Gluten Free bacon cheeseburger,bacon double cheeseburger,bacon double cheese burger,bacon pizza,Bacon Double Cheeseburger,Bacon Cheeseburger,Double Bacon Cheeseburger, bacon hamburger pizza, bacon hamburger, bacon burger pizza*",Extra Bacon
Barbecue Chicken Pizza,Personal,"*Personal Barbecue Chicken Pizza,Personal Barbeque Chicken Pizza,Personal Barbecue Pizza,Personal Barbeque Pizza, bbq chicken Pizza,Barbecue Chicken*",Ham
Barbecue Chicken Pizza,Small,"*Small Barbecue Chicken Pizza,Small Barbeque Chicken Pizza,Small Barbecue Pizza,Small Barbeque Pizza, bbq chicken Pizza,Barbecue Chicken*",Ground Beef
